city,lat,lng,country,population
Bamako,12.65,-8,Mali,1297281
Sikasso,11.3135,-5.6697,Mali,144786
Koutiala,12.391726,-5.464209,Mali,99353
Segou,13.4317,-6.2157,Mali,92552
Mopti,14.489094,-4.192827,Mali,78083
Kayes,14.446933,-11.444478,Mali,77207
Timbuktu,16.770456,-3.005588,Mali,68872
Gao,16.271667,-0.044722,Mali,57978
Kati,12.744092,-8.072574,Mali,42922
Markala,13.7021,-6.0659,Mali,38585
Bourem Guindou,16.908889,-0.356667,Mali,27486
Bafoulabe,13.8065,-10.8321,Mali,26823
Bougouni,11.421145,-7.485092,Mali,25644
San,13.303346,-4.895615,Mali,24811
Djenne,13.9045,-4.5599,Mali,22382
Nara,15.168751,-7.28466,Mali,18459
Kangaba,11.933333,-8.416667,Mali,17232
